name,internet,reg_internet
"ACC Ltd",http://www.acclimited.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Advance Petrochemicals Ltd",http://www.advancepetro.com,"www.bigshareonline.com                                                                                                                                                                                                                                    "
"Aegis Logistics Ltd",http://www.aegisindia.com,www.linkintime.co.in
"Alfred Herbert (India) Ltd",http://www.alfredherbert.co.in,"www.mdpl.in                                                                                                                                                                                                                                               "
"Ambalal Sarabhai Enterprises Ltd",http://www.ase.life,www.mcsdel.com
"Amrutanjan Health Care Ltd",http://www.amrutanjan.com,www.cameoindia.com
"Andhra Cements Ltd",http://www.andhracements.com,www.cilsecurities.com
"Andhra Paper Ltd",http://www.andhrapaper.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Apollo Tyres Ltd",http://www.apollotyres.com,NULL
"Utique Enterprises Ltd",http://www.utique.in,"www.bigshareonline.com                                                                                                                                                                                                                                    "
"Aravali Securities & Finance Ltd",http://www.aravalisecurities.com,"www.skylinerta.com                                                                                                                                                                                                                                        "
"Bombay Super Hybrid Seeds Ltd",http://www.bombaysuperseeds.com,"www.skylinerta.com                                                                                                                                                                                                                                        "
"Aruna Hotels Ltd",http://www.arunahotels.com,"www.mcsregistrars.com                                                                                                                                                                                                                                     "
"Arvind Ltd",http://www.arvind.com,"www.linkintime.co.in                                                                                                                                                                                                                                      "
"Ashok Leyland Ltd",http://www.ashokleyland.com,"www.integratedindia.in                                                                                                                                                                                                                                    "
"Asian Hotels (North) Ltd",http://www.asianhotelsnorth.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Asian Paints Ltd",http://www.asianpaints.com,www.tsrdarashaw.com
"SKF India Ltd",http://www.skf.com/in,NULL
"Asi Industries Ltd",http://www.asigroup.co.in,www.linkintime.co.in
"Astrazeneca Pharma India Ltd",http://www.astrazeneca.in,www.integratedindia.in
"Atlas Cycles (Haryana) Ltd",http://www.atlasbicycles.com,www.masserv.com
"Atul Ltd",http://www.atul.co.in,"www.linkintime.co.in                                                                                                                                                                                                                                      "
"Automobile Corporation Of Goa Ltd",http://www.acglgoa.com,www.tsrdarashaw.com
"Gayatri Sugars Ltd",http://www.gayatrisugars.com,"www.vccilindia.com                                                                                                                                                                                                                                        "
"Bagalkot Udyog Ltd",http://www.kanoria.com,"www.bigshareonline.com                                                                                                                                                                                                                                    "
"Bajaj Holdings & Investment Ltd",http://www.bhil.in,"www.kfintech.com                                                                                                                                                                                                                                          "
"Bajaj Electricals Ltd",http://www.bajajelectricals.com,www.linkintime.co.in
